ISO3,Year,Region,country,iso3c,LandArea,ArablePercent,Population,PopGrowth,RuralPopulation,UrbanPopulation,BirthRatePer1K,FertilityRate,PrimarySchoolAge,LifeExpectancy,AgeDepRatioOld,CO2Emissions,GDP,GDPPerCapita,GDPPerCapGrowth,GNIPerCapita,AdjNetNatlIncome,Inflation,Unemployment,TotalTrade,Exports,Imports,FDIIn,AgriEmployment,MobileCellSubscriptions,NaturalResourceRents,MilitaryExpenditures,GovtExpenditures,PublicEdExpend,WomenBusLawIndex,PaidParentalLeave
AFG,2018,South Asia,Afghanistan,AFG,652230,11.9497723195805,36686784,2.88520797304849,74.505,25.495,36.927,5.002,7,63.081,4.55160703424134,0.165454681763912,21241130983.2911,578.985909020837,-1.68857659267114,NA,NA,0.626149149168811,11.1520004272461,NA,NA,NA,0.648439597159199,43.1300010681152,59.90264778,0.891281199402031,1.00674629248273,NA,3.19979000091553,38.125,0
ALB,2018,Europe & Central Asia,Albania,ALB,27400,22.311897810219,2866376,-0.246732042281782,39.681,60.319,10.517,1.44,6,79.184,21.8173449701801,1.78273894754715,12702457551.4349,4431.53918098494,4.27632565399514,4427.83551023927,10283960047.1199,2.02805963071136,12.3000001907349,76.8081181330347,31.5719272134517,45.236190919583,7.94635135089316,37.2900009155273,94.36446759,1.86823588394589,1.16054478505068,11.2865596118116,3.15490126609802,91.25,0
DZA,2018,Middle East & North Africa,Algeria,DZA,2381741,3.15106344476582,41927007,1.9033254281097,27.371,72.629,24.074,3.023,6,76.066,8.84321884071998,3.9482902580223,175599602941.537,4188.22175743517,-0.707950481173555,4074.86547313416,149033267698.922,4.26999020467078,10.4200000762939,58.065491770819,25.8611508241538,32.2043409466652,0.838207480046885,9.88000011444092,112.4675177,18.4817244457533,5.46782435628871,17.2579295270401,5.8663501739502,57.5,0
ASM,2018,East Asia & Pacific,American Samoa,ASM,200,15.95,48424,-2.12293567392473,12.847,87.153,NA,NA,6,NA,8.95293478608173,NA,631900763.358779,13049.3301536176,4.87406112450759,NA,NA,NA,NA,171.830985915493,68.2316118935837,103.599374021909,NA,NA,NA,0,NA,NA,NA,NA,NA
AND,2018,Europe & Central Asia,Andorra,AND,470,1.76595744680851,75013,1.58014708656145,11.938,88.062,7.2,NA,6,NA,18.6612650768806,6.53220121227978,2949506390.20052,39319.9364136952,-0.00387029555736262,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.1329103,0,NA,NA,3.2467200756073,NA,NA
AGO,2018,Sub-Saharan Africa,Angola,AGO,1246700,3.93037619314992,31273533,3.46445698360985,34.486,65.514,40.236,5.519,6,62.144,4.9321872544942,0.766143022103473,83724808772.3459,2677.17781589774,-4.67662168598582,2436.21136720798,86958582012.629,19.6305943641961,7.4210000038147,66.3780133263399,40.8362898299819,25.541723496358,-8.29905135606258,50.9099998474121,42.49094914,27.5331192785728,1.87177586619642,10.4745435629873,2.04469990730286,73.125,0
ATG,2018,Latin America & Caribbean,Antigua and Barbuda,ATG,440,9.09090909090909,91626,0.554872965946274,75.401,24.599,10.816,1.371,5,78.511,12.7717349615697,5.56610558644115,1554626242.87881,16967.0862296598,6.29221473809653,NA,NA,1.20715793367003,NA,135.064152858016,64.5248555713149,70.539297286701,12.7554180936599,NA,NA,0,NA,15.2422043103746,2.64407992362976,66.25,0
ARG,2018,Latin America & Caribbean,Argentina,ARG,2736690,11.9241710606609,44494502,1.01580834908002,8.13,91.87,15.187,2.039,6,76.999,17.8092816371001,3.97577197057929,583118120294.002,13105.397163317,-3.60160975657155,12619.2035743605,493293867978.207,NA,9.22000026702881,30.7625359549926,14.4366857499034,16.3258502050892,2.232532212602,0.100000001490116,131.9371685,2.1012769363927,0.745498854953045,15.8050971558947,4.87773990631104,76.25,0
ARM,2018,Europe & Central Asia,Armenia,ARM,28470,15.6515630488233,2836557,-0.54025108197947,36.851,63.149,13.307,1.572,6,75.064,17.0312837756074,2.01300380642694,11958639113.6524,4215.89945615491,5.76988214903176,4290.80333528831,10720164677.356,2.52023382001631,18.9699993133545,92.473107021212,39.3928940286073,53.0802129926047,2.1420476257108,25.7800006866455,126.1831509,1.09329824684405,4.11988615256896,11.4866903221706,2.25587010383606,85,1
ABW,2018,Latin America & Caribbean,Aruba,ABW,180,11.1111111111111,105962,0.494795263046989,56.589,43.411,9.881,1.587,6,76.072,19.9201591292096,NA,3359554779.02582,31705.2790531117,4.73833114017752,NA,NA,3.62604141352956,NA,148.429867411026,73.7962316817865,74.6336357292394,4.24457258198044,NA,NA,0.00187491277347098,NA,23.5519888346127,NA,NA,NA
AUS,2018,East Asia & Pacific,Australia,AUS,7692020,4.02677060122049,24966643,1.50299298221362,13.988,86.012,12.6,1.74,5,82.7487804878049,23.9032463251311,15.5034862846486,1460075108728.85,58481.0344237649,1.34828275238704,57284.8382717997,NA,1.91140094445692,5.30000019073486,43.3895481199478,21.8734041196439,21.5161440003039,4.29357395218042,2.61999988555908,110.6519296,5.47462365219589,1.8901120808278,19.8956928528982,5.12344980239868,96.875,1
AUT,2018,Europe & Central Asia,Austria,AUT,82520,16.0827678138633,8840521,0.487071924768999,41.703,58.297,9.7,1.47,6,81.6926829268293,28.0624590209171,7.13306391934265,408030932405.258,46154.6250956541,1.92771305987296,45535.7066279977,328598611987.718,1.99837981429546,4.84999990463257,107.923639505579,55.4622191178234,52.4614203877556,-6.2871015854224,3.69000005722046,124.2461975,0.144713201452784,0.744738358890256,19.3393825159642,5.22452020645142,94.375,1
